"ensembl_id","gene_symbol","logFC_discovery","adj.P.Val_discovery","logFC_validation","adj.P.Val_validation","direction","hspc_mean_expr","hspc_status"
"ENSG00000133048","CHI3L1",-3.68037440710095,1.49433202472617e-97,-0.260506754824336,6.7449940141235e-46,"Down",6.21046666666667,"HSPC-low"
"ENSG00000196549","MME",-3.62808533490221,1.5040058399293e-125,-0.214762940898229,2.33607906002317e-47,"Down",6.11841612903226,"HSPC-low"
"ENSG00000120306","CYSTM1",-3.62397966772905,4.76120658321095e-143,-0.194595047933779,1.54022269830079e-35,"Down",NA,"Not-evaluated"
"ENSG00000165072","MAMDC2",3.59201986566437,9.23343209969319e-244,0.262108264500436,8.74435687714125e-26,"Up",NA,"Not-evaluated"
"ENSG00000118113","MMP8",-3.50004266323999,3.7172247598238e-68,-0.343994808266595,5.38324651341227e-33,"Down",5.76778709677419,"HSPC-low"
"ENSG00000185291","IL3RA",3.48996010984202,2.00422339168227e-200,0.151773403635215,5.38639988142812e-23,"Up",6.13517741935484,"HSPC-low"
"ENSG00000110076","NRXN2",3.41564226438309,3.88094862517765e-297,0.211866724202946,4.10834172750858e-32,"Up",5.63815161290322,"HSPC-low"
"ENSG00000186529","CYP4F3",-3.40638454167324,3.5090457883223e-146,-0.401715944116073,5.30804328665441e-67,"Down",5.72072580645161,"HSPC-low"
"ENSG00000106665","CLIP2",3.37154874582148,4.07190543650434e-248,0.169838405974438,4.61319908550377e-33,"Up",5.90887419354839,"HSPC-low"
"ENSG00000115523","GNLY",-3.36932219891675,4.89149107877515e-64,-0.165068344650773,8.68707659292943e-20,"Down",5.6633935483871,"HSPC-low"
"ENSG00000172889","EGFL7",3.34797662653383,4.79591389371888e-176,0.161562122644117,4.03537654223323e-18,"Up",5.86786774193548,"HSPC-low"
"ENSG00000186431","FCAR",-3.34672584180505,7.04383765111394e-123,-0.191210790198834,1.84158285828291e-41,"Down",6.29772,"HSPC-low"
"ENSG00000096006","CRISP3",-3.3062771513525,5.02313122361187e-81,-0.523553217210797,3.01997826789817e-60,"Down",6.13311290322581,"HSPC-low"
"ENSG00000257335","MGAM",-3.28647577129976,1.76201172582292e-92,-0.274290636996518,3.57612761021474e-29,"Down",6.54062258064516,"HSPC-low"
"ENSG00000170458","CD14",-3.28503942602324,8.23143157151641e-96,-0.203269191444119,1.36264520137372e-12,"Down",5.5898064516129,"HSPC-low"
"ENSG00000172236","TPSAB1",3.2152308284791,5.63524408663916e-114,0.162494317215065,3.94334228587243e-15,"Up",6.14280387096774,"HSPC-low"
"ENSG00000198736","MSRB1",-3.08185133785653,1.4834983523529e-105,-0.164006532968381,1.39874866616186e-28,"Down",6.50695161290322,"HSPC-low"
"ENSG00000133101","CCNA1",3.06141129282735,1.9325652659044e-82,0.173762694291917,1.35129691370276e-15,"Up",5.85265806451613,"HSPC-low"
"ENSG00000113303","BTNL8",-3.05684956623876,1.93361153790112e-120,-0.154289911280841,6.03100181019374e-29,"Down",5.73775806451613,"HSPC-low"
"ENSG00000104918","RETN",-3.05463832666975,1.54008269095024e-71,-0.254498495407595,1.10077460999704e-32,"Down",5.96131612903226,"HSPC-low"
"ENSG00000165178","NCF1C",-3.05008857109669,1.13583682188938e-105,-0.201305523284587,2.55780182087636e-19,"Down",5.57199032258065,"HSPC-low"
"ENSG00000100453","GZMB",-3.02082542050045,1.79082975217318e-55,-0.173482245915444,1.23916110683259e-29,"Down",5.73351612903226,"HSPC-low"
